:START_ID,:END_ID,:TYPE
CONSTRAINT-2A623202,OUTPUT-4A15D173,SUPPORTS
CONSTRAINT-32069379,CONSTRAINT-C03,DELTA_OF
CONSTRAINT-32069379,OUTPUT-4A15D173,SUPPORTS
CONSTRAINT-8F5FBFB0,OUTPUT-E59C979C,SUPPORTS
GOAL-62683A08,OUTPUT-1BC667B1,SUPPORTS
GOAL-62683A08,OUTPUT-4A15D173,SUPPORTS
GOAL-62683A08,OUTPUT-650320FB,SUPPORTS
GOAL-62683A08,OUTPUT-E59C979C,SUPPORTS
LESSON-F95D0A6B,CONSTRAINT-32069379,SUPPORTS
NEXT_STEP-9CF5190D,OUTPUT-650320FB,PRECEDES
OBSERVATION-FCE45236,NEXT_STEP-9CF5190D,SUPPORTS
OUTPUT-1BC667B1,OUTPUT-71969AA5,DERIVED_FROM
OUTPUT-1BC667B1,OUTPUT-8829D846,DERIVED_FROM
RISK-3CC68314,OUTPUT-650320FB,CONTRADICTS
RISK-7490D74F,OUTPUT-1BC667B1,CONTRADICTS
ROLE-03C97715,CONTEXT-DB12DE90,RELATES_TO
ROLE-03C97715,GOAL-62683A08,SUPPORTS
